pIGC50	CAS	SMILES
1.069	1070-66-2	C(CCCC)(C=O)=C
-1.21	108101	CC(CC(C)C)=O
-0.26	2168936	CCCCS(=O)CCCC
0.07	502567	CCCCC(CCCC)=O
1.52	462180	C(CCCCCC)(CCCCCC)=O
-1.67	637887	C1CC(CCC1=O)=O
0.63	928803	CCC(=O)CCCCCCC
-1.23	108941	C1(CCCCC1)=O
-0.93	504029	O=C(CCC1)CC1=O
-0.7	769-28-8	C(#N)c1c(C)cc([nH]c1=O)C
0.65	999-61-1	C(OC[C@H](C)O)(C=C)=O
0.516	140-88-5	C(OCC)(C=C)=O
0.291	106-63-8	C(OCC(C)C)(C=C)=O
0.531	925-60-0	C(OCCC)(C=C)=O
-0.83	37143547	NC(COC)C
-0.833	37143-54-7	C([C@H](C)N)OC
0.682	999-55-3	C(OCC=C)(C=C)=O
0.519	141-32-2	C(OCCCC)(C=C)=O
1.086	2499-58-3	C(COC(C=C)=O)CCCCC
0.741	2499-95-8	C(OC(C=C)=O)CCCCC
-0.481	20474-93-5	C(OCC=C)(\C=C\C)=O
0.408	4245-35-6	C(OCCC(C)C)(C=C)=O
1.144	19485-03-1	C([C@@H](OC(C=C)=O)C)COC(C=C)=O
0.537	2998-23-4	C(OCCCCC)(C=C)=O
-0.64	1663-39-4	O(C(C)(C)C)C(C=C)=O
0.547	96-33-3	C(C=C)(OC)=O
-0.159	7299-91-4	O(C(\C=C\C)=O)CCCC
-1.2	1068902	CC(=O)NC(C(=O)OCC)C(=O)OCC
-0.29	471250	C(C#C)(=O)O
-0.25	75989	C(C(C)(C)C)(=O)O
-0.71	141822	C(CC(=O)O)(=O)O
-0.94	110156	C(CCC(=O)O)(=O)O
-0.51	79094	C(CC)(=O)O
-0.33	79312	C(C(C)C)(=O)O
-0.51	505486	C(CCCCCCC(=O)O)(=O)O
-0.58	111160	C(CCCCCC(=O)O)(=O)O
-0.64	110941	C(CCCC(=O)O)(=O)O
-0.27	111206	C(CCCCCCCCC(=O)O)(=O)O
-0.61	124049	C(CCCCC(=O)O)(=O)O
-0.09	693232	C(CCCCCCCCCCC(=O)O)(=O)O
-0.66	4839467	OC(=O)CC(C)(C)CC(=O)O
-0.58	2052019	C(C(C)(C)Br)(=O)O
-0.15	88095	C(C(CC)CC)(=O)O
-0.34	503742	C(CC(C)C)(=O)O
-0.64	625387	OC(=O)CC=C
-0.27	646071	CC(CCC(O)=O)C
-0.23	105431	OC(=O)CC(C)CC
-0.33	107948	C(CCCl)(=O)O
-0.04	590921	C(CCBr)(=O)O
-0.55	565742	C(C(C(C)C)Br)(=O)O
-0.549	565-74-2	C([C@H](C(=O)O)Br)(C)C
-0.233	105-43-1	C([C@H](CC)C)C(=O)O
-0.68	627009	C(CCCCl)(=O)O
-0.77	2623872	OC(=O)CCCBr
0.014	104-61-0	C(CCCC)[C@H]1OC(CC1)=O
0.49	706149	C(CC1OC(=O)CC1)CCCC
-0.38	104507	CCCCC1CCC(O1)=O
-0.08	705862	CCCCCC1CCCC(O1)=O
0.01	104610	C1CC(OC1=O)CCCCC
-0.38	104-50-7	C(CCC)[C@H]1OC(CC1)=O
0.493	706-14-9	C(CCCCC)[C@H]1OC(CC1)=O
-0.077	705-86-2	C(CCCC)[C@H]1OC(=O)CCC1
-1.24	695-06-7	C(C)[C@H]1OC(CC1)=O
-1.24	695067	CCC1OC(=O)CC1
-1.569	108-29-2	C[C@H]1OC(CC1)=O
-1.57	108292	CC1OC(CC1)=O
1.04	1731846	CCCCCCCCC(=O)OC
1.42	1731868	O(C)C(=O)CCCCCCCCCC
-0.84	624248	CCCCC(=O)OC
0.54	111115	CCCCCCCC(OC)=O
1.38	110429	CCCCCCCCCC(OC)=O
0.1	106730	CCCCCCC(OC)=O
-0.36	539822	CCCCC(OCC)=O
0.06	123660	C(CCCCC)(=O)OCC
-0.56	106707	CCCCCC(OC)=O
1.44	3096-69-3	C[C@@H]1CC(O1)=O
-0.76	36536466	O=C1CC(C)O1
1.66	16090770	C(CCCCCCC(=O)OCCCC)(=O)OCCCC
0.79	105997	O(C(CCCCC(OCCCC)=O)=O)CCCC
0.01	141060Valeric	C(C(OCCC)=O)CCC
-0.49	105544	C(CCC)(=O)OCC
-1.25	623427	C(CCC)(=O)OC
-0.13	141286	C(CCCCC(OCC)=O)(OCC)=O
0.7	2050239	O(C(CCCCCCC(OCC)=O)=O)CC
1.35	110407	C(CCCCCCCC(OCC)=O)C(OCC)=O
0.41	2050206	CCOC(=O)CCCCCC(=O)OCC
0.763	3066-71-5	O(C(C=C)=O)C1CCCCC1
-0.41	105668	C(CCC)(=O)OCCC
0.51	141037	C(C(OCCCC)=O)CC(OCCCC)=O
0.52	109217	C(CCC)(=O)OCCCC
-0.38	123206	C(CCC)(OC=C)=O
0.21	123682	CCCCCC(=O)OCC=C
0.73	142198	C(CCCCCC)(OCC=C)=O
1.69	112447	CCCCCCCCCCC=O
-0.04	624544	O(C(CC)=O)CCCCC
-0.17	66251	C(CCCCC)=O
-0.679	105-46-4	O([C@H](CC)C)C(C)=O
-0.02	110623	C(CCCC)=O
1.76	112549	C(CCCCCC)CCCCC=O
0.0	111717	C(CCCCCC)=O
1.28	112312	CCCCCCCCCC=O
0.81	124196	C(CCCCCCCC)=O
0.48	124130	C(CCCCCCC)=O
0.16	123057	C(C(CC)CCCC)=O
-0.68	105464	C(C)(=O)OC(CC)C
0.3	1732098	O(C(CCCCCCC(OC)=O)=O)C
0.161	123-05-7	C([C@@H](CC)C=O)CCC
-1.17	1119400	COC(CCCC(OC)=O)=O
1.65	1472873	O(C(CCCCCCCCCCCC(OC)=O)=O)C
1.01	106796	C(CCCCCCCCC(OC)=O)(OC)=O
-0.64	2051787Butyric	O=C(CCC)OCC=C
-0.475	123-15-9	C([C@H](C=O)C)CC
-0.47	123159	CCCC(C=O)C
-1.26	502443	O1C(CCCCC1)=O
-0.378	40420-22-2	C(CCCC(OCC)=O)(CC(OCC)=O)=O
0.17	590012	C(CC)(=O)OCCCC
-0.38	123728	C(CCC)=O
-1.59	108214	C(C)(=O)OC(C)C
-0.417	10371-45-6	O(C(\C=C\C)=O)[C@H](CC)C
-1.72	96480	O=C1CCCO1
-0.65	105384	C(OC=C)(CC)=O
0.0	1569693	SC1CCCCC1
1.72	69212313	C1=CC=CC=C1CSC2=C([N+](=O)[O-])C=CC=N2
0.26	88722	CC1=CC=CC=C1[N+](=O)[O-]
0.66	5428546	CC1=C(C=C(C=C1)[N+](=O)[O-])O
-0.22	619250	C1=CC(=CC(=C1)[N+](=O)[O-])CO
0.78	5460311	[N+](c1c(c(O)ccc1)C)(=O)[O-]
0.42	99081	CC1=CC(=CC=C1)[N+](=O)[O-]
0.56	83410	CC1=C(C(=CC=C1)[N+](=O)[O-])C
0.17	552896	C1=CC=C(C(=C1)C=O)[N+](=O)[O-]
0.65	99990	CC1=CC=C(C=C1)[N+](=O)[O-]
0.72	555033	COC1=CC=CC(=C1)[N+](=O)[O-]
0.11	99616	C1=CC(=CC(=C1)[N+](=O)[O-])C=O
1.09	79544313	OCC1=CC([N+](=O)[O-])=C([N+](=O)[O-])C=C1
-0.15	612259	[N+](c1c(CO)cccc1)(=O)[O-]
0.59	99514	CC1=C(C=C(C=C1)[N+](=O)[O-])C
1.52	610399	[N+]([O-])(=O)c1c([N+](=O)[O-])cc(C)cc1
0.45	619249	C1=CC(=CC(=C1)[N+](=O)[O-])C#N
-0.72	610151	C1=CC=C(C(=C1)C(=O)N)[N+](=O)[O-]
0.71	99774	CCOC(=O)C1=CC=C(C=C1)[N+](=O)[O-]
0.87	121142	CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]
0.14	98953	C1=CC=C(C=C1)[N+](=O)[O-]
1.25	528290	C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-]
0.57	619727	[N+](c1ccc(C#N)cc1)(=O)[O-]
-0.07	91236	COC1=CC=CC=C1[N+](=O)[O-]
0.68	83421	CC1=C(C=CC=C1Cl)[N+](=O)[O-]
1.3	86000	C1=CC=C(C=C1)C2=CC=CC=C2[N+](=O)[O-]
0.16	6361224	C1=CC=C(C(=C1Cl)C=O)[N+](=O)[O-]
1.57	2113588	[N+](c1cc(c2ccccc2)ccc1)(=O)[O-]
0.86	603714	CC1=CC(=C(C(=C1)C)[N+](=O)[O-])C
-0.777	928-97-2	C(=C\CC)\CCO
-0.78	928972	CCC=CCCO
-0.809	928-96-1	C(=C/CC)\CCO
-1.105	1576-95-0	C(=C/CO)\CC
-1.11	1576950	C(=CCO)CC
-0.754	928-92-7	C(\C=C\C)CCO
-0.75	928927	C(O)CCC=CC
-1.75	71238	C(CC)O
-0.71	107108	C(CC)N
-1.7	627270	C=CCCO
-2.3	107880	C(CC(C)O)O
-2.3013	107-88-0	C([C@H](C)O)CO
-0.777	928-94-9	C(\CCC)=C/CO
-0.472	928-95-0	C(\CCC)=C\CO
-1.7	6291856	C(CCN)OCC
1.61	75039848	CCCCCCCCC=CCO
0.05	33467764	CCCCC=CCO
2.09	22104810	C(O)C=CCCCCCCCCC
1.13	22104809	C(O)C=CCCCCCCC
-1.69	156876	NCCCO
0.37	18409171	C(O)C=CCCCCC
1.611	75039-84-8	C(CC\C=C\CO)CCCCC
0.752	31502-14-4	C(O)\C=C\CCCCCC
1.128	22104-80-9	C(CCCCC)C\C=C\CO
2.092	22104-81-0	C(CCCCCC)CC\C=C\CO
0.365	18409-17-1	C(CCCC)\C=C\CO
0.045	33467-76-4	C(\C=C\CO)CCC
-0.58	107857	C(CC(C)C)N
-1.04	123513	C(CC(C)C)O
0.77	22104796	C(O)C=CCCCCCC
-0.74	624953	OCCC(C)(C)C
-0.7	109762	C(CCN)N
-1.18	763326	OCCC(C)=C
-1.22	821090	OCCCC=C
-1.18	10229104	CC#CCCO
-0.32	14916791	CCCC#CCCO
-1.77	5332730	COCCCN
-1.47	6117915	C(C=CC)O
-1.472	6117-91-5	C(=C\C)\CO
-1.95	107415	OC(C)CC(C)(C)O
-1.24	556821	C(C)(=CCO)C
-1.953	107-41-5	C(C(C)(C)O)[C@H](C)O
-1.52	625310	C=CCC(C)O
-1.517	625-31-0	C([C@H](C)O)C=C
1.32	708065	O=CC1=C2C(=CC=C1O)C=CC=C2
1.05	7770458	C1C(=C2C=CC=CC(=C(C=1)O)2)C=O
0.42	90028	C1=CC=C(C(=C1)C=O)O
0.66	601-89-8	N(=O)(=O)c1c(O)cccc1O
0.42	66773	C1=CC=C2C(=C1C(=O))C=CC=C2
0.61	3011-34-5	N(=O)(=O)c1cc(C=O)ccc1O
0.67	88-75-5	N(=O)(=O)c1c(O)cccc1
0.28	1194985	C1(=CC=C(C(=C1)C=O)O)O
1.71	4707715	O=CC1=C2C(=C3C=CC=CC(=C1)3)C=CC=C2
0.33	42454-06-8	C(=O)c1c(N(=O)=O)ccc(c1)O
0.52	95012	O=CC1=C(O)C=C(O)C=C1
0.08	100834	C1=CC(=CC(=C1)O)C=O
0.46	66-56-8	N(=O)(=O)c1c(N(=O)=O)cccc1O
0.11	24677789	C(C1=C(C(=CC=C1)O)O)(=O)
1.23	35699446	CC1=CC=C(C=CC=C2)C2=C1C=O
0.27	123080	C(C1C=CC(=CC=1)O)=O
0.13	487707	O=CC1=C(O)C=C(O)C=C1O
0.78	5460-31-1	N(=O)(=O)c1c(C)c(O)ccc1
1.36	607-24-9	Oc1c2c(ccc1N(=O)=O)cccc2
0.87	5274-70-4	N(=O)(=O)c1c(O)c(C=O)ccc1
0.61	4920-77-8	N(=O)(=O)c1c(C)cccc1O
0.27	704-13-2	N(=O)(=O)c1c(O)cc(cc1)C=O
1.16	835110	C1=CC=C(C(=C1)C(=O)C2=CC=CC=C2O)O
0.11	139855	OC1=C(O)C=C(C=O)C=C1
1.12	33738486	C1=CC2=C(C=C1)C(=CC=C2C(=O))C
0.18	936-02-7	C(NN)(=O)c1c(O)cccc1
0.17	552-89-6	C(=O)c1c(N(=O)=O)cccc1
0.0	2144083	O=CC1=CC=C(C(=C1O)O)O
0.38	148538	C1=CC(=C(C(=C1)C=O)O)OC
0.62	708769	C1=C(C=C(C(=C1OC)C=O)O)OC
1.23	117-99-7	C(=O)(c1c(O)cccc1)c1ccccc1
0.38	89-73-6	C(NO)(=O)c1c(O)cccc1
1.37	131566	OC1=CC=C(C(C2=CC=CC=C2)=O)C(O)=C1
0.57	119-33-5	N(=O)(=O)c1c(O)ccc(c1)C
-0.24	65-45-2	C(N)(=O)c1c(O)cccc1
-0.05	19438-10-9	C(OC)(=O)c1cc(O)ccc1
-0.29	95487	CC1=CC=CC=C1O
0.01	529204	C(C1C(=CC=CC=1)C)=O
0.89	56962119	C(=O)C1=C(Cl)C=C(C=C1)O
0.15	135024	COC1=CC=CC=C1C=O
-0.38	121-71-1	C(C)(=O)c1cc(O)ccc1
0.12	526750	CC1=C(C(=CC=C1)O)C
0.85	492886	C(OC1=C(O)C(C=O)=CC=C1)C
0.61	88697	CC(C)C1=CC=CC=C1O
0.16	90006	CCC1=CC=CC=C1O
1.31	28994-41-4	C(c1c(O)cccc1)c1ccccc1
-0.3	99-93-4	C(C)(=O)c1ccc(cc1)O
1.42	131577	COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O
1.37	17696627	C1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)O
0.88	1143722	O=C(C1=C(O)C(O)=C(O)C=C1)C2=CC=CC=C2
1.29	1518-83-8	Oc1ccc(cc1)C1CCCC1
1.56	1131608	c1(ccc(cc1)O)C1CCCCC1
0.23	100107	CN(C)C1=CC=C(C=C1)C=O
1.11	136367	C1=CC=C(C=C1)C(=O)OC2=CC=CC(=C2)O
0.98	89-72-5	C([C@H](C)c1c(O)cccc1)C
-0.1	4460860	COC1=CC(=C(C=C1C=O)OC)OC
0.33	1745819	C=CCC1=CC=CC=C1O
0.12	70702	CCC(=O)C1=CC=C(C=C1)O
1.04	830-81-9	O(C(C)=O)c1c2c(ccc1)cccc2
-0.52	90722	CN(C)CC1=CC(=C(C(=C1)CN(C)C)O)CN(C)C
0.12	103833	C(N(C)C)c1ccccc1
-0.16	1.20E+08	CCC(CC1=CC=CC=C1)O
-0.16	120055-09-6	C([C@H](CC)O)c1ccccc1
0.16	705737	CCCC(CC1=CC=CC=C1)O
-0.62	14898874	CC(CC1=CC=CC=C1)O
-0.07	103059	CC(C)(CCC1=CC=CC=C1)O
-0.41	100867	CC(C)(CC1=CC=CC=C1)O
0.62	13214669	NCCCCc1ccccc1
0.12	3360416	C1=CC=C(C=C1)CCCCO
-0.21	122974	C1=CC=C(C=C1)CCCO
1.25	104518	CCCCC1=CC=CC=C1
0.75	29338496	CC(C(C1=CC=CC=C1)C2=CC=CC=C2)O
1.0	29338-49-6	C([C@@H](C)O)(c1ccccc1)c1ccccc1
0.87	2430162	C1=CC=C(C=C1)CCCCCCO
0.42	10521912	C1=CC=C(C=C1)CCCCCO
0.8	5342870	CC(CC1=CC=CC=C1)(C2=CC=CC=C2)O
0.8	5342-87-0	C([C@](C)(O)c1ccccc1)c1ccccc1
1.79	538681	CCCCCC1=CC=CC=C1
-0.59	60128	C1=CC=C(C=C1)CCO
0.06	1565759	CCC(C)(C1=CC=CC=C1)O
-0.43	93549	CCC(C1=CC=CC=C1)O
0.06	1565-75-9	C([C@](C)(O)c1ccccc1)C
0.07	768592	CCC1=CC=C(C=C1)CO
-0.01	22144-60-1	C([C@@H](O)c1ccccc1)CC
-0.01	22144601	CCCC(C1=CC=CC=C1)O
-0.18	618360	CC(C1=CC=CC=C1)N
-0.57	617947	CC(C)(C1=CC=CC=C1)O
-0.66	98851	CC(C1=CC=CC=C1)O
-0.66	98-85-1	C[C@@H](O)c1ccccc1
-0.43	89952	CC1=CC=CC=C1CO
0.08	1821392	CCCC1=CC=CC=C1N
-0.03	587020	CCC1=CC(=CC=C1)N
0.01	2722363	CC(CCO)C1=CC=CC=C1
1.07	104132	CCCCC1=CC=C(C=C1)N
-0.11	89104461	C1=CC=CC=C1C(CC)CO
0.01	2722-36-3	C([C@H](C)c1ccccc1)CO
-0.18	127-66-2	C([C@](C)(O)c1ccccc1)#C
0.31	579668	CCC1=C(C(=CC=C1)CC)N
-0.18	127662	CC(C#C)(C1=CC=CC=C1)O
-0.41	589082	CNCCC1=CC=CC=C1
-0.83	100516	C1=CC=C(C=C1)CO
0.5	91010	C1=CC=C(C=C1)C(C2=CC=CC=C2)O
-0.24	100469	C1=CC=C(C=C1)CN
-0.22	578541	CCC1=CC=CC=C1N
-0.08	104541	C1=CC=C(C=C1)C=CCO
-0.91	55210	C(=O)(c1ccccc1)N
0.09	2227794	C1=CC=C(C=C1)C(=S)N
0.42	103639	C1=CC=C(C=C1)CCBr
0.18	536607	CC(C)C1=CC=C(C=C1)CO
2.57	24065-40-5	O(C(Nc1c(C)cc(c(c1)C)SC#N)=O)c1c(Br)c(Br)c(c(c1C)Br)Br
-2.67	67561	CO
1.04	492977	C1(C2=CC=CS2)=CC=CS1
0.27	1008895	C1=CC=C(C=C1)C2=CC=CC=N2
0.47	1008884	C1=CC=C(C=C1)C2=CN=CC=C2
2.38	5469261	C(C(CBr)=O)(C)(C)C
2.05	534076	C(C(CCl)=O)Cl
1.76	6305437	C(C(CBr)=O)(CBr)=O
0.269	4091-39-8	C([C@@H](C)Cl)(C)=O
0.51	17346166	C(C(Br)(C)C)(C(Br)(C)C)=O
0.27	4091398	CC(Cl)C(=O)C
0.64	513882	C(C(C)=O)(Cl)Cl
1.44	1694297	CC(=O)C(Cl)C(=O)C
2.17	39081919	C(C(C(Br)C)=O)(C(Br)C)=O
2.168	39081-91-9	C(C([C@@H](Br)C)=O)([C@@H](Br)C)=O
-1.17	53955810	O=C(C(CC)C)OC
-0.89	7452791	CCC(C(OCC)=O)C
-0.24	133131	C(C(C(OCC)=O)C(OCC)=O)C
-1.19	1679476	C1C(C(OC1)=O)C
-1.19	1679-47-6	C[C@H]1C(=O)OCC1
-1.6	79209	C(C)(=O)OC
-1.61	554121	C(CC)(=O)OC
-1.29	108598	C(CC(=O)OC)(=O)OC
-0.12	10031875	CCC(CC)COC(=O)C
-1.06	106650	C(CCC(=O)OC)(=O)OC
1.046	94-04-2	C([C@@H](CCCC)CC)(OC=C)=O
1.05	94042	C(C(OC=C)=O)(CCCC)CC
0.763	18937-79-6	C(C#CCCC)(OC)=O
0.13	2163486	C(C(C(OCC)=O)C(OCC)=O)CC
-0.05	97961	C(CC)(CC)C=O
-0.311	96-17-3	C([C@H](C=O)C)C
-0.51	609085	CC(C(OCC)=O)C(OCC)=O
-1.27	97621	C(C(C)C)(=O)OCC
-0.31	96173	C(CC)(C=O)C
1.322	111-80-8	C(C#CC(OC)=O)CCCCC
1.043	111-12-6	C(#CC(OC)=O)CCCCC
0.56	133084	C(C(C(OCC)=O)C(OCC)=O)CCC
0.403	23326-27-4	C(C#CC)(OC)=O
-0.617	6622-76-0	C(\C(OC)=O)(=C\C)C
-0.06	2049801	C(C(C(OCC)=O)C(OCC)=O)C=C
-1.061	924-50-5	C(\C=C(\C)C)(OC)=O
0.97	3018120	N#CC(Cl)Cl
2.4	3252435	C(C(Br)Br)#N
2.23	590170	C(Br)C#N
0.85	107142	C(CCl)#N
1.88	545062	C(C(Cl)(Cl)Cl)#N
-0.86	1617170	C(C#N)(C)Cl
0.63	19481824	C(#N)C(Br)C
0.626	19481-82-4	C([C@@H](Br)C)#N
-0.863	1617-17-0	C([C@H](C)Cl)#N
-1.0	542767	C(CCCl)#N
-0.82	100-48-1	C(#N)c1ccncc1
-0.74	100-54-9	C(#N)c1cccnc1
-0.79	100-70-9	C(#N)c1ccccn1
-0.52	100-47-0	C(#N)c1ccccc1
0.63	2116656	C1=CC=C(C=C1)CC2=CC=NC=C2
-0.1	104-85-8	C(#N)c1ccc(cc1)C
-0.05	1129357	N#Cc1ccc(C(=O)OC)cc1
0.043	105077	C1=C(C=CC(=C1)C=O)C#N
0.52	767-00-0	C(#N)c1ccc(cc1)O
0.04	611201	N#Cc1c(O)cccc1
0.68	620951	n1cc(Cc2ccccc2)ccc1
0.1	874908	COC1=CC=C(C=C1)C#N
0.38	101826	C1=CC=C(C=C1)CC2=CC=CC=N2
-0.38	3034342	C1=CC(=CC=C1C#N)C(=O)N
-0.06	873621	N#Cc1cc(O)ccc1
-1.58	26522850	C(C([O-])=O)C([O-])=O
-1.65	150903	C(CCC(=O)[O-])(=O)[O-]
-1.37	156547	CCCC([O-])=O
-1.45	137406	C(CC)(=O)[O-]
-0.68	10051442	CCCCCC([O-])=O
0.0	1984061	CCCCCCCC([O-])=O
-0.77	108930	C1(CCCCC1)O
0.85	2051312	CCCC(CCCCCC)O
0.85	2051-31-2	C([C@H](CCC)O)CCCCC
0.03	20296291	CCC(CCCCC)O
0.031	20296-29-1	C([C@@H](CC)O)CCCC
0.001	4128-31-8	C(C[C@H](C)O)CCCC
0.618	628-99-9	C(CCCCC)C[C@H](C)O
0.62	628999	CC(CCCCCCC)O
0.0	4128318	CC(CCCCCC)O
-1.96	2935-44-6	C(C[C@H](C)O)[C@@H](C)O
-0.81	616240	C(C(CC)N)C
-1.24	584021	CCC(CC)O
-1.96	2935446	C(CC(C)O)C(C)O
-0.68	625309	C(C(C)N)CC
-1.16	6032297	CC(O)CCC
-1.1596	6032-29-7	C([C@H](C)O)CC
-0.685	625-30-9	C([C@H](C)N)CC
-0.27	7383199	CCCCC(O)C#C
-1.27	6920225	CCCCC(O)CO
-0.58	5665747	C(CCCC)(CO)N
0.76	1119864	C(CCCCCC)CC(CO)O
0.764	1119-86-4	C(CC[C@@H](CO)O)CCCCC
-0.265	7383-19-9	C([C@H](C#C)O)CCC
-0.5848	16397-19-6	C([C@@H](CO)N)CCC
-1.267	6920-22-5	C([C@@H](CO)O)CCC
-0.67	4146047	C(CCC)(CO)N
-1.63	5343920	OCC(CCC)O
-0.6718	16369-14-5	C([C@@H](CO)N)CC
-1.627	5343-92-0	C([C@@H](CO)O)CC
-0.81	4798441	C=CC(CCC)O
-0.811	4798-44-1	C([C@@H](C=C)O)CC
2.0	95943	C1=C(C(=CC(=C1Cl)Cl)Cl)Cl
1.08	120821	C1=CC(=C(C=C1Cl)Cl)Cl
0.87	108703	C1=C(C=C(C=C1Cl)Cl)Cl
0.53	95501	C1=CC=C(C(=C1)Cl)Cl
1.76	3481207	C1=C(C(=C(C(=C1Cl)Cl)N)Cl)Cl
2.22	935-95-5	Clc1c(O)c(Cl)c(cc1Cl)Cl
1.17	769-39-1	Fc1c(O)c(F)c(cc1F)F
0.68	106376	C1=CC(=CC=C1Br)Br
1.3	636306	C1=C(C(=CC(=C1Cl)Cl)Cl)N
2.1	95954	C1=C(C(=CC(=C1Cl)Cl)Cl)O
0.08	108861	C1=CC=C(C=C1)Br
2.18	58902	C1=C(C(=C(C(=C1Cl)Cl)Cl)O)Cl
-0.13	108907	C1=CC=C(C=C1)Cl
0.36	591504	C1=CC=C(C=C1)I
2.37	933-78-8	Clc1c(Cl)cc(cc1O)Cl
1.82	117-18-0	N(=O)(=O)c1c(Cl)c(Cl)cc(c1Cl)Cl
1.96	634833	C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)N
0.39	95749	CC1=C(C=C(C=C1)N)Cl
0.38	87605	CC1=C(C=CC=C1Cl)N
0.5	95794	CC1=C(C=C(C=C1)Cl)N
0.18	615656	CC1=CC(=C(C=C1)N)Cl
0.69	64063372	c1(c(c(c(cc1)Cl)N)Cl)C
-0.05	106490	CC1=CC=C(C=C1)N
-0.16	956473	CC1=C(C=C(C=C1)N)C
0.77	2357473	C1=CC(=C(C=C1N)C(F)(F)F)F
0.65	626017	C1=CC(=CC(=C1)I)N
-0.1	372190	C1=CC(=CC(=C1)F)N
0.22	108429	C1=CC(=CC(=C1)Cl)N
-0.28	108441	CC1=CC(=CC=C1)N
0.35	95692	CC1=C(C=CC(=C1)Cl)N
0.2	95818	Nc1c(Cl)ccc(c1)C
0.05	106478	C1=CC(=CC=C1N)Cl
0.71	626437	C1=C(C=C(C=C1Cl)Cl)N
0.22	99887	CC(C)C1=CC=C(C=C1)N
0.75	121-87-9	N(=O)(=O)c1cc(Cl)c(cc1)N
0.36	769926	CC(C)(C)C1=CC=C(C=C1)N
-0.29	95681	CC1=CC(=C(C=C1)N)C
0.12	643287	CC(C)C1=CC=CC=C1N
-0.43	87592	CC1=C(C(=CC=C1)N)C
0.03	589162	CCC1=CC=C(C=C1)N
0.76	24544045	CC(C)C1=C(C(=CC=C1)C(C)C)N
1.238	286474-59-7	C(=O)c1c(F)c(C)ccc1Cl
0.25	873-74-5	C(#N)c1ccc(cc1)N
-0.43	87627	CC1=C(C(=CC=C1)C)N
-0.02	393395	C1=CC(=C(C=C1F)C(F)(F)F)N
-1.13	1877776	NC1=CC(CO)=CC=C1
0.61	30273111	CCC(C)C1=CC=C(C=C1)N
0.68	1137413	C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N
-0.91	2835689	C(N)(=O)c1ccc(N)cc1
0.35	615430	C1=CC=C(C(=C1)N)I
-0.17	95512	C1=CC=C(C(=C1)N)Cl
1.17	7/2/6358	N(=O)(=O)c1c(Cl)cc(c(c1)O)N
-0.37	348549	C1=CC=C(C(=C1)N)F
-0.47	2237301	C1=CC(=CC(=C1)N)C#N
-0.15	106-50-3	Nc1ccc(cc1)N
-0.5	1885-29-6	C(#N)c1c(N)cccc1
0.26	771608	C1(=C(C(=C(C(=C1F)F)F)F)F)N
-0.86	62-23-7	C(=O)(O)c1ccc(cc1)N(=O)=O
-1.09	121-92-6	C(=O)(O)c1cc(N(=O)=O)ccc1
-1.64	552-16-9	C(=O)(O)c1c(N(=O)=O)cccc1
1.3	100-25-4	N(=O)(=O)c1ccc(cc1)N(=O)=O
-1.02	99-96-7	C(=O)(O)c1ccc(cc1)O
0.84	92-92-2	C(=O)(O)c1ccc(cc1)c1ccccc1
0.14	98-95-3	N(=O)(=O)c1ccccc1
0.65	99-99-0	N(=O)(=O)c1ccc(cc1)C
0.76	99-65-0	N(=O)(=O)c1cc(N(=O)=O)ccc1
1.42	100-02-7	N(=O)(=O)c1ccc(cc1)O
-0.81	99-06-9	C(=O)(O)c1cc(O)ccc1
0.3	81-20-9	N(=O)(=O)c1c(C)cccc1C
0.59	99-51-4	N(=O)(=O)c1cc(C)c(cc1)C
0.2	555-16-8	N(=O)(=O)c1ccc(cc1)C=O
1.04	329-71-5	N(=O)(=O)c1cc(O)c(cc1)N(=O)=O
1.25	528-29-0	N(=O)(=O)c1c(N(=O)=O)cccc1
0.8	100-12-9	N(=O)(=O)c1ccc(cc1)CC
0.87	121-14-2	N(=O)(=O)c1cc(N(=O)=O)ccc1C
0.14	99-61-6	N(=O)(=O)c1cc(C=O)ccc1
0.42	99-08-1	N(=O)(=O)c1cc(C)ccc1
0.4	619-50-1	C(OC)(=O)c1ccc(cc1)N(=O)=O
1.06	51-28-5	N(=O)(=O)c1cc(N(=O)=O)ccc1O
0.51	554-84-7	N(=O)(=O)c1cc(O)ccc1
-0.51	69-72-7	C(=O)(O)c1c(O)cccc1
0.66	5428-54-6	N(=O)(=O)c1cc(O)c(cc1)C
0.48	99-57-0	N(=O)(=O)c1cc(N)c(cc1)O
0.57	619-72-7	N(=O)(=O)c1ccc(cc1)C#N
0.38	586-78-7	N(=O)(=O)c1ccc(cc1)Br
-0.16	29663-11-4	N(=O)(=O)c1c(O)c(N(=O)=O)cc(c1)N(=O)=O
0.1	350-46-9	N(=O)(=O)c1ccc(cc1)F
0.18	619-80-7	C(N)(=O)c1ccc(cc1)N(=O)=O
0.83	573-56-8	N(=O)(=O)c1c(O)c(N(=O)=O)ccc1
1.1	100-14-1	N(=O)(=O)c1ccc(cc1)CCl
